2.37,2.41,1.99,1.84,2.04,2.82,3.96,2.68,3.33,2.51
2.37,2.33,2.01,1.86,2.04,2.99,3.86,2.63,3.31,2.5
2.35,2.26,2,1.9,2.05,3.04,3.76,2.59,3.29,2.49
2.37,2.22,1.98,1.88,2.06,2.91,3.68,2.54,3.28,2.47
2.37,2.19,1.97,1.87,2.03,2.84,3.66,2.51,3.28,2.46
2.35,2.18,1.98,1.85,2.04,2.79,3.64,2.46,3.27,2.46
2.33,2.15,2.01,1.86,2.08,2.75,3.62,2.41,3.26,2.45
2.33,2.16,1.95,1.88,2.07,2.72,3.56,2.37,3.3,2.45
2.31,2.14,1.94,1.87,2.08,2.71,3.5,2.37,3.29,2.44
2.29,2.1,1.94,1.9,2.12,2.67,3.5,2.36,3.26,2.57
2.24,2.08,1.95,1.9,2.13,2.67,3.56,2.35,3.23,2.56
2.16,2.05,1.94,1.9,2.12,2.66,3.62,2.33,3.2,2.73
2.14,2.04,1.94,1.88,2.14,2.66,3.6,2.31,3.21,2.72
2.15,2.04,1.97,1.9,2.18,2.68,3.54,2.3,3.22,2.64
2.09,2.08,1.98,1.9,2.22,2.77,3.51,2.29,3.23,2.6
2.06,2.36,2.03,1.9,2.24,2.85,3.49,2.29,3.21,2.57
2.05,2.51,2.03,1.92,2.22,3.03,3.48,2.27,3.19,2.55
2.08,2.46,2.04,1.92,2.23,3.38,3.5,2.23,3.17,2.53
2.13,2.43,2.11,1.9,2.22,3.47,3.47,2.22,3.2,2.5
2.2,2.38,2.07,1.86,2.19,3.41,3.42,2.21,3.27,2.49
2.23,2.33,2.06,1.86,2.17,3.34,3.4,2.2,3.37,2.48
2.23,2.29,2.04,1.86,2.15,3.24,3.39,2.21,3.24,2.47
2.25,2.25,2.03,1.8,2.15,3.17,3.38,2.22,3.17,2.51
2.24,2.23,2.01,1.79,2.17,3.14,3.37,2.22,3.15,2.61
2.25,2.23,2,1.8,2.14,3.12,3.35,2.22,3.14,2.59
2.24,4.7,1.98,1.81,2.13,3.16,3.33,2.19,3.12,2.58
2.24,6.51,1.97,1.8,2.2,3.29,3.32,2.19,3.11,2.56
2.24,4.35,1.98,1.77,2.26,3.18,3.31,2.18,3.09,2.58
2.25,3.78,1.96,1.77,2.28,3.13,3.29,2.16,3.09,2.63
2.23,3.46,1.95,1.78,2.39,3.14,3.27,2.17,3.08,2.78
2.21,3.26,1.92,1.76,2.36,3.13,3.24,2.16,3.09,2.78
2.22,3.13,1.91,1.76,2.32,3.09,3.24,2.18,3.08,2.72
2.2,3.02,1.91,1.81,2.27,3.03,3.23,2.19,3.11,2.66
2.17,2.94,1.92,1.84,2.24,2.99,3.22,3.31,3.06,2.62
2.19,2.91,1.9,1.82,2.22,2.98,3.26,2.61,3.04,2.6
2.19,2.89,1.89,1.8,2.19,2.98,3.32,2.61,3.01,2.59
2.18,2.83,1.9,1.82,2.17,2.98,3.36,2.49,2.99,2.56
2.18,2.78,1.95,1.83,2.16,2.99,3.29,2.38,2.98,2.53
2.16,2.73,1.97,1.81,2.17,2.98,3.32,2.32,2.97,2.53
2.17,2.69,2.11,1.82,2.16,3.02,3.79,2.28,2.97,2.55
2.17,2.63,2.31,1.77,2.13,2.97,3.79,2.23,2.99,2.62
2.11,2.59,2.53,1.73,2.13,2.93,3.61,2.21,3,2.71
2.1,2.55,2.48,1.74,2.14,2.9,3.45,2.2,3.02,2.92
2.11,2.51,2.38,1.79,2.14,2.86,3.35,2.17,3.09,2.93
