92.3,2.35,73.8,2.18,43.9,1.98,32.6,1.85,52.1,2.04,207,2.79,502,3.64,106,2.46,342,3.27,90.7,2.46
89.1,2.33,70.3,2.15,46.9,2.01,33.6,1.86,56.1,2.08,193,2.75,492,3.62,97.5,2.41,341,3.26,88.3,2.45
89.6,2.33,71.8,2.16,41.2,1.95,34.7,1.88,55.5,2.07,186,2.72,465,3.56,91.6,2.37,353,3.3,88.2,2.45
86.8,2.31,68.4,2.14,40.2,1.94,34.1,1.87,56.5,2.08,184,2.71,435,3.5,91.2,2.37,351,3.29,87.4,2.44
84.1,2.29,63.5,2.1,40.5,1.94,36.7,1.9,60.6,2.12,174,2.67,436,3.5,90.4,2.36,341,3.26,113,2.57
76.3,2.24,61.1,2.08,41.6,1.95,36.9,1.9,61.9,2.13,174,2.67,462,3.56,88.4,2.35,330,3.23,111,2.56
64.5,2.16,57.3,2.05,40.2,1.94,36.9,1.9,61.4,2.12,169,2.66,490,3.62,84.8,2.33,319,3.2,153,2.73
62.6,2.14,55.6,2.04,40,1.94,34.7,1.88,63.9,2.14,170,2.66,481,3.6,82.5,2.31,323,3.21,148,2.72
63.1,2.15,56.3,2.04,43,1.97,36.4,1.9,68.7,2.18,176,2.68,456,3.54,80.4,2.3,324,3.22,128,2.64
56.7,2.09,62.2,2.08,44.5,1.98,36.7,1.9,74.2,2.22,202,2.77,442,3.51,78.2,2.29,329,3.23,119,2.6
52.6,2.06,105,2.36,49,2.03,37,1.9,77,2.24,225,2.85,432,3.49,78.1,2.29,322,3.21,113,2.57
51.7,2.05,133,2.51,49.4,2.03,38.3,1.92,74.4,2.22,281,3.03,426,3.48,75.3,2.27,314,3.19,108,2.55
54.9,2.08,123,2.46,50.3,2.04,38.7,1.92,75.8,2.23,416,3.38,436,3.5,70.4,2.23,308,3.17,104,2.53
60.9,2.13,117,2.43,59,2.11,37,1.9,74.5,2.22,450,3.47,422,3.47,68.3,2.22,316,3.2,99.3,2.5
70.8,2.2,107,2.38,53.6,2.07,33.1,1.86,70.1,2.19,424,3.41,403,3.42,67.3,2.21,343,3.27,95.9,2.49
74.5,2.23,97.5,2.33,52.7,2.06,32.8,1.86,67.6,2.17,392,3.34,392,3.4,65.8,2.2,381,3.37,94.9,2.48
74.7,2.23,90.6,2.29,50.8,2.04,32.9,1.86,65.3,2.15,353,3.24,388,3.39,67.7,2.21,333,3.24,93.6,2.47
77.3,2.25,84.6,2.25,49.5,2.03,28.1,1.8,64.2,2.15,328,3.17,388,3.38,68.4,2.22,308,3.17,101,2.51
75.9,2.24,81.1,2.23,47.8,2.01,27.7,1.79,67,2.17,317,3.14,380,3.37,68.9,2.22,301,3.15,122,2.61
77.4,2.25,81.2,2.23,45.9,2,27.1,1.8,63,2.14,312,3.12,373,3.35,68.3,2.22,296,3.14,117,2.59
76.4,2.24,1270,4.7,44.6,1.98,28.3,1.81,62.4,2.13,325,3.16,368,3.33,65,2.19,291,3.12,115,2.58
75.5,2.24,2420,6.51,43,1.97,27.1,1.8,72,2.2,374,3.29,363,3.32,64.9,2.19,285,3.11,110,2.56
